DateTime,AddedIPs,RemovedIPs
1532280989,156,178
1532282008,164,132
1532283131,193,151
1532284106,128,188
1532285400,186,148
1532286509,1711,287
1532287467,141,0
1532288417,162,293
1532289390,166,0
1532290387,175,275
1532291302,118,0
1532292288,140,153
1532293240,94,132
1532294200,140,125
1532295135,155,141
1532296107,169,151
1532297098,149,158
1532298008,134,0
1532299239,147,289
1532300168,178,0
1532301167,148,163
1532302113,178,147
1532303101,145,134
1532304022,160,129
1532304981,160,160
1532305952,157,156
1532306917,112,154
1532307864,168,148
1532308812,138,143
1532309789,158,101
1532310791,174,144
1532311693,214,148
1532312674,159,140
1532313624,130,127
1532314571,184,103
1532315557,180,145
1532316516,145,143
1532317493,150,164
1532318444,182,127
1532319386,159,139
1532320346,167,101
1532321295,150,142
1532322260,164,131
1532323215,161,123
1532324190,161,147
1532325129,172,150
1532326120,152,146
1532327103,153,151
1532328024,162,150
1532328999,194,161
1532329948,161,138
1532330890,148,129
1532331904,178,131
1532332834,176,180
1532334040,215,208
1532334970,209,204
1532335986,155,179
1532336905,156,147
1532337875,188,149
1532338811,167,129
1532339783,158,143
1532341757,188,191
1532342895,171,128
1532343894,189,162
1532344812,173,152
1532345772,156,122
1532346768,140,126
1532347695,161,136
1532348653,123,140
1532349630,156,106
1532350570,136,155
1532351541,179,121
1532352608,164,132
1532353689,187,143
1532354672,163,169
1532355609,188,128
1532356573,152,112
1532357576,165,141
1532358497,154,147
1532359453,166,123
1532360433,185,110
1532361369,150,130
1532362336,171,141
1532363334,173,183
1532364316,177,141
1532365287,155,0
1532366430,147,334
1532367396,175,167
1532368353,155,0
1532369314,147,172
1532370280,154,178
1532371234,121,144
1532372185,178,196
1532373170,217,1700
1532374089,132,138
1532375101,165,154
1532376018,183,160
1532376991,164,190
1532377938,158,108
1532380134,167,285
1532381074,137,140
1532382018,150,171
1532382990,136,163
1532383967,157,163
1532384905,122,155
1532385894,131,152
1532386834,110,157
1532387789,158,160
1532388742,155,184
1532389705,158,136
1532390662,147,158
1532391629,158,135
1532392570,153,158
1532394063,192,149
1532394981,159,155
1532395941,152,130
