DateTime,AddedIPs,RemovedIPs
1532080223,5,0
1532080520,1,0
1532080823,3,0
1532081421,1,0
1532082626,2,0
1532083223,7,0
1532084126,13,0
1532084425,7,0
1532085023,12,0
1532085625,14,0
1532085925,23,0
1532086523,6,1
1532087424,6,0
1532088024,2,0
1532088627,2,0
1532088922,1,0
1532089528,1,0
1532090427,4,0
1532091627,1,0
1532092522,31,0
1532093122,25,0
1532093727,3,0
1532094626,6,0
1532095222,1,0
1532096123,8,0
1532097028,8,0
1532097321,6,0
1532097925,1,0
1532098224,17,0
1532098825,4,0
1532099426,3,0
1532100326,3,0
1532100926,4,0
1532101227,1,0
1532101827,1,0
1532102424,18,0
1532103329,20,0
1532104228,10,0
1532105124,15,0
1532105727,1,0
1532106030,4,0
1532106626,1,0
1532107223,1,0
1532107527,6,0
1532108126,5,0
1532109031,20,0
1532109628,1,0
1532110522,1,0
1532111128,1,0
1532111728,13,0
1532112031,2,0
1532112323,1,0
1532112624,21,0
1532112929,63,0
1532113225,13,0
1532113824,79,0
1532114427,68,0
1532114721,24,0
1532115029,75,0
1532115323,28,0
1532115929,45,0
1532116528,30,0
1532117123,18,0
1532117725,18,0
1532118625,3,0
1532118926,2,0
1532119226,13,0
1532119523,8,0
1532119823,12,0
1532120121,44,0
1532120723,27,0
1532121625,3,0
1532121923,3,0
1532122522,2,0
1532122823,24,0
1532123125,1,0
1532123422,15,0
1532124027,23,0
1532125224,390,0
1532125820,172,0
1532126124,7,0
1532127622,14,0
1532127928,1,0
1532128821,12,0
1532129421,3,0
1532130022,3,0
1532130622,18,0
1532131223,1,0
1532131821,2,0
1532132724,1,0
1532133322,1,0
1532134223,5,0
1532134526,2,0
1532134824,12,0
1532135428,13,0
1532136026,34,0
1532136328,39,0
1532136925,13,0
1532137529,6,0
1532138127,4,0
1532138425,14,0
1532139027,1,0
1532140224,7,0
1532140826,12,0
1532141123,12,0
1532141723,26,0
1532142030,5,0
1532142324,16,0
1532142624,13,0
1532142930,7,0
1532143526,9,0
1532144121,33,0
1532144721,8,0
1532145321,7,0
1532146221,28,0
1532146821,10,0
1532147122,6,0
1532148322,2,0
1532148623,23,0
1532149224,2,0
1532150123,3,0
1532150426,12,0
1532151021,4,0
1532151624,7,0
1532151922,4,0
1532153422,1,0
1532154023,12,0
1532154325,4,0
1532154623,11,0
1532155225,2,0
1532155824,2,0
1532156721,2,0
1532157326,4,0
1532157924,2,0
1532158824,7,0
1532159426,2,0
1532160025,15,0
1532160626,3,0
1532161230,1,0
1532161826,3,0
1532162126,3,0
1532162426,5,0
1532162724,2,0
1532163322,1,0
1532164524,1,0
1532164826,2,0
1532165428,4,0
1532166025,3,0
1532166625,6,0
1532167521,4,0
1532168124,1,0
1532169323,1,0
1532169621,3,0
1532170229,29,0
1532170824,2,0
1532172026,1,0
1532172629,11,0
1532172925,3,0
1532173222,7,0
1532173529,9,0
1532173823,20,0
1532174431,34,0
1532175324,3,0
1532175623,10,0
1532176221,3,0
1532176521,5,0
1532177122,1,0
1532177723,1,0
1532178323,1,0
1532179226,1,0
1532179825,8,0
1532180421,1,0
1532181025,5,0
1532181928,1,0
1532182226,2,0
1532182527,11,0
1532183122,4,0
1532184022,10,0
1532184325,5,0
1532184926,7,0
1532185522,2,0
1532186422,2,0
1532187327,4,0
1532187627,8,0
1532187927,1,0
1532188224,6,0
1532188822,1,0
1532189124,6,0
