DateTime,AddedIPs,RemovedIPs
1532070254,28,2
1532070759,9,2
1532071257,32,31
1532071961,9,2
1532072416,23,25
1532073156,9,18
1532073642,19,15
1532074577,3,20
1532075072,14,7
1532075540,37,6
1532076032,9,6
1532076497,40,25
1532076995,3,7
1532077456,16,21
1532077943,8,10
1532078476,39,18
1532078896,6,35
1532079608,50,15
1532079870,9,46
1532080584,38,23
1532081068,19,47
1532081560,41,21
1532082289,21,37
1532082775,35,37
1532083239,15,16
1532083700,37,12
1532084191,22,24
1532084658,46,30
1532085165,20,20
1532085644,39,37
1532086120,9,18
1532086584,30,39
1532087075,8,7
1532088054,49,77
1532088986,56,44
1532089947,44,50
1532090898,43,47
1532091875,41,51
1532092813,43,56
1532093777,46,57
1532094806,43,56
1532095706,39,48
1532096684,53,51
1532097619,44,62
1532098585,36,68
1532099553,46,56
1532100496,14,20
1532100998,50,40
1532101459,8,39
1532101976,37,45
1532102439,6,0
1532102947,25,38
1532103382,7,66
1532103895,45,46
1532104347,16,36
1532104809,26,17
1532105315,7,44
1532105772,27,22
1532106283,9,36
1532106771,31,26
1532107231,8,10
1532107708,30,25
1532108210,2,15
1532108709,33,24
1532109156,4,20
1532109618,37,29
1532110128,2,11
1532110582,28,19
1532111056,5,0
1532111553,38,37
1532112021,7,53
1532112490,31,39
1532112991,7,22
1532113459,44,26
1532113962,3,29
1532114416,36,31
1532114888,4,0
1532115394,41,36
1532115859,4,32
1532116334,50,32
1532116852,12,31
1532117303,38,34
1532117812,12,26
1532118274,33,39
1532118758,13,30
1532119213,38,34
1532119695,13,15
1532120220,21,36
1532120668,3,18
1532121141,31,21
1532121636,6,11
1532122095,16,34
1532122650,9,24
1532123599,42,75
1532124502,34,58
1532125478,49,75
1532126417,29,69
1532128143,54,89
1532129088,41,62
1532130016,44,63
1532130976,34,66
1532131976,37,58
1532132906,43,54
1532133873,39,55
1532134821,40,43
1532135794,39,39
1532136739,44,15
1532137711,31,7
1532138659,25,9
1532139623,42,12
1532140827,39,8
1532141811,29,6
1532142759,38,42
1532143727,40,110
1532144664,10,48
1532145381,39,52
1532145905,11,76
1532146349,19,27
1532146828,6,36
1532147294,26,38
1532147797,14,10
1532148294,29,24
1532148755,10,15
1532149231,36,24
1532149724,4,0
1532150193,27,20
1532150672,13,1
1532151143,40,3
1532151636,3,0
1532152103,27,4
1532152589,7,0
1532153070,34,23
1532153562,2,0
1532154014,29,27
1532154491,6,0
1532155029,42,22
1532155472,19,4
1532156446,41,41
1532157379,11,45
1532158356,11,92
1532159423,23,53
1532160501,19,37
1532161498,28,46
1532162411,53,9
1532163409,44,46
1532164353,74,33
1532165298,62,27
1532166289,42,26
1532167219,36,29
1532168204,38,6
1532169138,48,17
1532170093,36,15
1532171104,37,10
1532172010,49,27
1532172972,45,26
1532173968,37,10
1532174933,37,9
1532175889,34,11
1532176811,37,63
1532177777,23,86
1532178763,23,70
1532179713,42,29
1532180697,47,41
1532181634,59,38
1532182590,49,30
1532183545,55,30
1532184506,39,22
1532185466,14,12
1532186184,28,24
1532186440,14,18
1532187384,44,32
1532188359,42,38
1532189368,32,29
1532190259,10,14
1532191229,53,33
1532192171,33,32
1532193159,49,36
1532194101,49,31
1532195095,38,21
1532196025,20,25
1532196987,34,34
1532198049,34,18
1532199168,40,29
1532200103,22,17
1532201074,36,29
1532202011,30,16
1532203039,43,32
1532203941,28,26
1532204891,14,6
1532205609,25,28
1532205898,8,5
1532206592,22,13
1532207059,5,10
1532207536,17,11
1532208032,5,14
1532208489,23,15
1532209028,11,5
1532209530,16,12
1532209947,6,8
1532210655,29,12
1532210911,2,9
1532211626,23,14
1532212096,13,15
1532212814,28,10
1532213076,10,32
1532213784,10,5
1532214028,1,0
1532214993,45,27
1532215944,34,27
1532216914,36,28
1532217860,27,31
1532218815,50,29
1532219800,35,28
1532220765,32,30
1532221701,37,22
1532222677,25,31
1532223612,34,25
1532224617,32,33
1532225546,32,20
1532226490,34,22
1532227511,38,16
1532228467,35,32
1532229378,27,25
1532230391,29,22
1532231292,25,19
1532232257,24,28
1532233226,29,25
1532234194,35,22
1532235156,26,5
1532236098,20,4
1532237092,27,9
1532238295,33,19
1532239229,20,6
1532240182,53,13
1532241154,33,2
1532242095,26,9
1532243090,37,35
1532244024,32,45
1532244994,20,30
1532245973,41,26
1532247155,35,51
1532248140,37,27
1532249119,33,27
1532250076,30,16
1532250984,24,6
1532251944,42,25
1532252912,41,19
1532253860,33,31
1532254825,27,28
1532255794,23,31
1532256794,50,33
1532257699,43,20
1532258688,24,25
1532259657,39,20
1532260572,39,37
1532261549,40,32
1532262498,36,21
1532263512,38,18
1532264440,25,18
1532265461,43,23
1532266587,33,28
1532267555,38,31
1532268494,25,3
1532269485,44,42
1532270412,27,3
1532271377,38,22
1532272356,32,25
1532273319,25,38
1532274307,34,16
1532275277,27,20
1532275748,7,11
1532276186,20,1
1532276670,11,9
1532277134,27,22
1532277610,3,6
1532279092,32,48
1532280011,24,1
1532280989,27,37
1532282008,30,37
1532282899,6,6
1532283131,26,13
1532283851,12,0
1532284106,21,15
1532284833,8,9
1532285400,21,11
1532285790,6,0
1532286509,52,23
1532286982,8,10
1532287467,29,17
1532287964,6,4
1532288417,25,16
1532288917,2,12
1532289390,22,20
1532289888,0,5
1532290387,26,18
1532290837,6,5
1532291302,20,18
1532291774,4,6
1532292288,25,19
1532292745,5,10
1532293240,13,12
1532293706,2,6
1532294200,23,13
1532294658,1,8
1532295135,20,16
1532295629,4,1
1532296107,27,13
1532296572,4,10
1532297098,20,8
1532297539,0,10
1532298008,28,16
1532298524,6,16
1532299239,23,12
1532299698,7,0
1532300168,21,16
1532300675,0,11
1532301167,30,11
1532301635,2,13
1532302113,37,8
1532302618,4,16
1532303101,13,13
1532303559,2,21
1532304022,18,23
1532304539,7,10
1532304981,23,14
1532305454,4,23
1532305952,20,12
1532306421,5,26
1532306917,25,18
1532307380,6,22
1532307864,35,23
1532308365,2,18
1532308812,28,25
1532309293,5,32
1532309789,19,24
1532310271,8,22
1532310791,30,13
1532311225,0,15
1532311693,24,14
1532312202,5,15
1532312674,19,19
1532313159,7,14
1532313624,32,11
1532314120,10,13
1532314571,25,21
1532315063,8,12
1532315557,24,11
1532316020,6,8
1532316516,14,8
1532316992,9,7
1532317493,25,9
1532317955,18,15
1532318444,38,19
1532318914,16,10
1532319386,26,16
1532319899,18,10
1532320346,35,15
1532320831,16,9
1532321295,24,16
1532321798,7,23
1532322260,39,14
1532322759,23,6
1532323215,27,19
1532323691,7,11
1532324190,28,12
1532324658,4,13
1532325129,38,16
1532325647,14,24
1532326120,21,20
1532326587,21,6
1532327103,21,23
1532327547,6,10
1532328024,30,16
1532328507,7,10
1532328999,30,19
1532329479,9,15
1532329948,37,15
1532330424,12,15
1532330890,20,14
1532331401,0,8
1532331904,35,19
1532332352,8,15
1532332834,35,19
1532333316,3,7
1532334040,43,14
1532334493,13,14
1532334970,52,24
1532335469,10,27
1532335986,27,13
1532336445,3,13
1532336905,37,15
1532337374,9,0
1532337875,35,16
1532338346,12,6
1532338811,42,28
1532339300,11,6
1532339783,26,18
1532341757,94,85
1532342895,63,45
1532343894,45,21
1532344812,38,30
1532345772,59,21
1532346768,38,30
1532347695,32,26
1532348653,41,27
1532349630,43,27
1532350570,32,38
1532351541,46,21
1532352608,56,35
1532353689,57,29
1532354672,39,79
1532355609,40,7
1532356573,35,44
1532357576,37,45
1532358497,29,35
1532359453,32,6
1532360433,42,47
1532361369,39,1
1532362336,48,35
1532363334,40,56
1532364316,47,30
1532365287,35,22
1532366430,32,23
1532367396,44,18
1532368353,34,31
1532369314,26,22
1532370280,35,28
1532371234,26,28
1532372185,32,30
1532373170,40,202
1532374089,35,36
1532375101,27,27
1532376018,29,28
1532376991,34,28
1532377938,42,3
1532380134,56,61
1532381074,31,32
1532382018,35,29
1532382990,24,29
1532383967,31,30
1532384905,25,49
1532385894,28,5
1532386834,17,4
1532387789,41,23
1532388742,37,39
1532389705,38,30
1532390662,51,27
1532391629,69,36
1532392570,48,29
1532393532,36,23
1532394063,43,24
1532394500,9,16
1532394981,32,14
1532395493,12,22
1532395941,23,12
1532396412,10,13
1532396944,33,10
1532397372,16,17
1532397889,27,11
1532398337,11,20
1532398808,24,12
1532399321,10,24
1532399783,30,14
1532400266,10,15
1532400752,45,25
1532401225,15,24
1532401724,34,12
1532402185,16,7
1532402697,34,13
1532403142,9,16
1532403613,35,11
1532404113,14,8
1532404568,16,10
1532405056,2,11
1532405554,27,15
1532406023,15,15
1532406509,23,18
1532407002,11,14
1532408021,24,11
1532408445,15,21
1532409136,29,18
1532409631,21,13
1532410582,34,44
1532411536,40,32
1532412499,51,32
1532413486,40,33
1532414420,38,35
1532415373,38,31
1532416363,53,19
1532417304,59,21
1532418273,57,17
1532419242,50,52
1532420188,33,41
1532421161,51,28
1532422372,54,33
1532423304,41,27
1532424270,43,21
1532425235,30,28
1532426195,47,31
1532427136,51,21
