DateTime,Entries,UniqueIPs
1531924574,2000,2000
1531925579,2000,2000
1531926500,2000,2000
1531927459,2000,2000
1531928413,2000,2000
1531929393,2000,2000
1531930378,2000,2000
1531931305,2000,2000
1531932258,2000,2000
1531933222,2000,2000
1531934201,2000,2000
1531935149,2000,2000
1531936090,2000,2000
1531937079,2000,2000
1531938009,2000,2000
1531938973,2000,2000
1531939941,2000,2000
1531940915,2000,2000
1531942622,2000,2000
1531943542,2000,2000
1531944504,2000,2000
1531945480,2000,2000
1531946436,2000,2000
1531947402,2000,2000
1531948351,2000,2000
1531949292,2000,2000
1531950336,2000,2000
1531951456,2000,2000
1531952407,2000,2000
1531953636,2000,2000
1531954591,2000,2000
1531955538,2000,2000
1531956497,2000,2000
1531957473,2000,2000
1531958435,2000,2000
1531959395,2000,2000
1531960335,2000,2000
1531961329,2000,2000
1531962279,2000,2000
1531963227,2000,2000
1531964192,2000,2000
1531965145,2000,2000
1531966125,2000,2000
1531967054,2000,2000
1531968028,2000,2000
1531968978,2000,2000
1531969949,2000,2000
1531970891,2000,2000
1531971871,2000,2000
1531972898,2000,2000
1531974025,2000,2000
1531974975,2000,2000
1531975983,2000,2000
1531976900,2000,2000
1531977855,2000,2000
1531978817,2000,2000
1531979787,2000,2000
1531980744,2000,2000
1531983655,2000,2000
1531984814,2000,2000
1531985791,2000,2000
1531986732,2000,2000
1531987728,2000,2000
1531988663,2000,2000
1531989682,2000,2000
1531991098,2000,2000
1531992012,2000,2000
1531992988,2000,2000
1531993970,2000,2000
1531994906,2000,2000
1531995851,2000,2000
1531996859,2000,2000
1531997773,2000,2000
1531998745,2000,2000
1531999695,2000,2000
1532000679,2000,2000
1532001643,2000,2000
1532002594,2000,2000
1532003544,2000,2000
1532004517,2000,2000
1532005465,2000,2000
1532006410,2000,2000
1532007398,2000,2000
1532008383,2000,2000
1532009318,2000,2000
1532010282,2000,2000
1532011241,2000,2000
1532012179,2000,2000
1532013148,2000,2000
1532014093,2000,2000
1532015096,2000,2000
1532016040,2000,2000
1532016983,2000,2000
1532017940,2000,2000
1532018895,2000,2000
1532019901,2000,2000
1532020810,2000,2000
1532021779,2000,2000
1532022739,2000,2000
1532023803,2000,2000
1532024905,2000,2000
1532025891,2000,2000
1532027824,2000,2000
1532028742,2000,2000
1532029699,2000,2000
1532030674,2000,2000
1532031613,2000,2000
1532032573,2000,2000
1532033573,2000,2000
1532034498,2000,2000
1532035472,2000,2000
1532036913,2000,2000
1532037862,2000,2000
1532038816,2000,2000
1532039781,2000,2000
1532040780,2000,2000
1532041721,2000,2000
1532043425,2000,2000
1532044843,2000,2000
1532045861,2000,2000
1532047012,2000,2000
1532047954,2000,2000
1532048894,2000,2000
1532049894,2000,2000
1532050861,2000,2000
1532051782,2000,2000
1532052754,2000,2000
1532053713,2000,2000
1532054652,2000,2000
1532055634,2000,2000
1532056625,2000,2000
1532057551,2000,2000
1532058523,2000,2000
1532059515,2000,2000
1532060671,2000,2000
1532061610,2000,2000
1532062590,2000,2000
1532063550,2000,2000
1532064490,2000,2000
1532065481,2000,2000
1532066424,2000,2000
1532067397,2000,2000
1532068345,2000,2000
1532069305,2000,2000
1532070254,2000,2000
1532071257,2000,2000
1532072416,2000,2000
1532073642,2000,2000
1532074577,2000,2000
1532075540,2000,2000
1532076497,2000,2000
1532077456,2000,2000
1532078476,2000,2000
1532079608,2000,2000
1532080584,2000,2000
1532081560,2000,2000
1532082775,2000,2000
1532083700,2000,2000
1532084658,2000,2000
1532085644,2000,2000
1532086584,2000,2000
1532088054,2000,2000
1532088986,2000,2000
1532089947,2000,2000
1532090898,2000,2000
1532091875,2000,2000
1532092813,2000,2000
1532093777,2000,2000
1532094806,2000,2000
1532095706,2000,2000
1532096684,2000,2000
1532097619,2000,2000
1532098585,2000,2000
1532099553,2000,2000
1532100998,2000,2000
1532101976,2000,2000
1532102947,2000,2000
1532103895,2000,2000
1532104809,2000,2000
1532105772,2000,2000
1532106771,2000,2000
1532107708,2000,2000
1532108709,2000,2000
1532109618,2000,2000
1532110582,2000,2000
1532111553,2000,2000
1532112490,2000,2000
1532113459,2000,2000
1532114416,2000,2000
1532115394,2000,2000
1532116334,2000,2000
1532117303,2000,2000
1532118274,2000,2000
1532119213,2000,2000
1532120220,2000,2000
1532121141,2000,2000
1532122095,2000,2000
1532123599,2000,2000
1532124502,2000,2000
1532125478,2000,2000
1532126417,2000,2000
1532128143,2000,2000
1532129088,2000,2000
1532130016,2000,2000
1532130976,2000,2000
1532131976,2000,2000
1532132906,2000,2000
1532133873,2000,2000
1532134821,2000,2000
